                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.3694,                 1.4583,                 1.2772,                0.34804,                0.36866,                0.29216,                0.17537,                 1.4747,                 2.4144,                 1.5501,              0.0002031,              0.0002031,              0.0002031
                     75,                 1.3775,                 1.4413,                 1.2745,                0.34597,                0.36282,                0.28303,                0.17177,                 1.4764,                 2.3939,                  1.532,              0.0001961,              0.0001961,              0.0001961
                     76,                 1.3647,                   1.44,                 1.2753,                0.33771,                0.36725,                0.28617,                 0.1732,                 1.4697,                 2.3605,                 1.5389,              0.0001891,              0.0001891,              0.0001891
                     77,                 1.3611,                 1.4339,                 1.2754,                0.35909,                0.35224,                0.29025,                0.17721,                 1.4787,                 2.4161,                 1.5469,             0.00018211,             0.00018211,             0.00018211
                     78,                  1.369,                 1.4311,                 1.2776,                0.33158,                0.34915,                0.28418,                0.17362,                 1.4767,                 2.4244,                 1.5469,             0.00017511,             0.00017511,             0.00017511
                     79,                 1.3546,                 1.4093,                 1.2677,                0.35584,                0.34649,                0.27939,                0.16984,                 1.4795,                 2.4529,                 1.5422,             0.00016811,             0.00016811,             0.00016811
                     80,                 1.3579,                 1.4126,                 1.2676,                0.35456,                0.35066,                0.28366,                0.17053,                 1.4895,                  2.433,                 1.5585,             0.00016111,             0.00016111,             0.00016111
                     81,                 1.3769,                 1.4007,                 1.2691,                0.36356,                0.36005,                0.29344,                 0.1778,                 1.4715,                  2.419,                 1.5438,             0.00015411,             0.00015411,             0.00015411
                     82,                 1.3602,                 1.4001,                 1.2707,                0.35436,                0.35862,                0.28716,                0.17422,                 1.4874,                 2.4355,                 1.5467,             0.00014711,             0.00014711,             0.00014711
                     83,                 1.3656,                 1.3955,                 1.2666,                0.34264,                0.34548,                0.27762,                0.16824,                 1.4754,                 2.5275,                 1.5207,             0.00014011,             0.00014011,             0.00014011
                     84,                 1.3576,                 1.3886,                 1.2611,                 0.3484,                0.34887,                0.28626,                0.17269,                 1.4736,                 2.4781,                 1.5393,             0.00013312,             0.00013312,             0.00013312
                     85,                 1.3605,                 1.3822,                 1.2627,                0.37207,                0.34043,                0.28469,                0.17145,                 1.4847,                  2.478,                 1.5442,             0.00012612,             0.00012612,             0.00012612
                     86,                 1.3335,                 1.3677,                  1.256,                0.34668,                0.34941,                0.28285,                0.17321,                 1.4809,                 2.4725,                 1.5383,             0.00011912,             0.00011912,             0.00011912
                     87,                 1.3509,                 1.3623,                 1.2541,                0.33232,                0.34414,                0.27353,                0.16372,                 1.4732,                 2.5355,                 1.5325,             0.00011212,             0.00011212,             0.00011212
                     88,                 1.3509,                 1.3572,                 1.2591,                 0.3467,                0.34288,                0.28161,                0.16928,                 1.4811,                 2.5111,                  1.537,             0.00010512,             0.00010512,             0.00010512
                     89,                 1.3412,                 1.3541,                 1.2529,                0.35814,                0.33863,                0.27641,                0.16885,                 1.4812,                 2.5319,                 1.5348,             9.8122e-05,             9.8122e-05,             9.8122e-05
                     90,                 1.3318,                 1.3465,                 1.2556,                0.34606,                0.34786,                0.27591,                0.16672,                 1.4857,                 2.5233,                 1.5359,             9.1123e-05,             9.1123e-05,             9.1123e-05
                     91,                 1.3418,                 1.3592,                 1.2548,                0.34307,                0.33974,                0.27267,                 0.1642,                 1.4948,                 2.5254,                  1.544,             8.4125e-05,             8.4125e-05,             8.4125e-05
                     92,                 1.3422,                 1.2566,                 1.2573,                0.32883,                0.35579,                0.27788,                0.16847,                 1.4866,                 2.3557,                  1.539,             7.7126e-05,             7.7126e-05,             7.7126e-05
                     93,                 1.3158,                 1.1626,                 1.2445,                0.34111,                 0.3536,                0.27695,                0.16738,                 1.4975,                 2.4523,                 1.5449,             7.0128e-05,             7.0128e-05,             7.0128e-05
                     94,                 1.3037,                 1.1407,                 1.2416,                0.34943,                0.34829,                0.27611,                0.16694,                  1.493,                 2.4952,                 1.5368,             6.3129e-05,             6.3129e-05,             6.3129e-05
                     95,                 1.2952,                 1.1253,                 1.2341,                0.35968,                 0.3463,                0.27761,                0.17008,                 1.4808,                 2.4947,                 1.5254,              5.613e-05,              5.613e-05,              5.613e-05
                     96,                 1.2845,                 1.1134,                  1.233,                0.35794,                 0.3459,                0.27589,                0.16895,                 1.4897,                 2.5053,                 1.5334,             4.9132e-05,             4.9132e-05,             4.9132e-05
                     97,                 1.2885,                 1.1198,                 1.2388,                0.35361,                0.33556,                0.27277,                0.16663,                 1.4976,                 2.5308,                 1.5422,             4.2133e-05,             4.2133e-05,             4.2133e-05
                     98,                 1.2988,                 1.1063,                 1.2289,                0.35356,                0.34427,                0.27695,                0.16875,                 1.4991,                 2.5573,                 1.5442,             3.5134e-05,             3.5134e-05,             3.5134e-05
                     99,                 1.2934,                  1.094,                 1.2318,                0.35386,                0.33541,                0.27497,                 0.1669,                 1.4947,                 2.5601,                 1.5403,             2.8136e-05,             2.8136e-05,             2.8136e-05
                    100,                  1.274,                 1.0781,                 1.2199,                0.35458,                0.34595,                0.27414,                0.16622,                  1.496,                 2.5636,                 1.5407,             2.1137e-05,             2.1137e-05,             2.1137e-05
                    101,                 1.2883,                 1.0744,                 1.2193,                0.35634,                0.34326,                0.27578,                0.16749,                 1.4915,                 2.5707,                 1.5361,             1.4139e-05,             1.4139e-05,             1.4139e-05
